tupleid,attribute,value
6,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
6,score,""
6,sample,""
6,stateavg,AL_SCIP-INF-6
7,provider number,10018
7,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
7,address1,1720 UNIVERSITY BLVD
7,address2,""
7,address3,""
7,city,BIRMINGHAM
7,state,AL
7,zip code,35233
7,county name,JEFFERSON
7,phone number,2053258100
7,hospital type,Acute Care Hospitals
7,hospital owner,Voluntary non-profit - Private
7,emergency service,Yes
7,condition,Surgical Infection Prevention
7,measure code,SCIP-VTE-1
7,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
7,score,""
7,sample,""
7,stateavg,AL_SCIP-VTE-1
8,provider number,10018
8,hospital name,CALLAHAN EYE FOUNDATION HOSPITAL
8,address1,1720 UNIVERSITY BLVD
8,address2,""
8,address3,""
8,city,BIRMINGHAM
8,state,AL
8,zip code,35233
8,county name,JEFFERSON
8,phone number,2053258100
8,hospital type,Acute Care Hospitals
8,hospital owner,Voluntary non-profit - Private
8,emergency service,Yes
8,condition,Surgical Infection Prevention
8,measure code,SCIP-VTE-2
8,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
8,score,""
8,sample,""
8,stateavg,AL_SCIP-VTE-2
9,provider number,10019
9,hospital name,HELEN KELLER MEMORIAL HOSPITAL
9,address1,1300 SOUTH MONTGOMERY AVENUE
9,address2,""
9,address3,""
9,city,SHEFFIELD
9,state,AL
9,zip code,35660
9,county name,JEFFERSON
9,phone number,2563864556
9,hospital type,Acute Care Hospitals
9,hospital owner,Government - Hospital District or Authority
9,emergency service,Yes
9,condition,Heart Attack
9,measure code,AMI-1
9,measure name,Heart Attack Patients Given Aspirin at Arrival
9,score,97%
9,sample,33 patients
9,stateavg,AL_AMI-1
10,provider number,10019
10,hospital name,HELEN KELLER MEMORIAL HOSPITAL
10,address1,1300 SOUTH MONTGOMERY AVENUE
10,address2,""
10,address3,""
10,city,SHEFFIELD
10,state,AL
10,zip code,35660
10,county name,JEFFERSON
10,phone number,2563864556
10,hospital type,Acute Care Hospitals
10,hospital owner,Government - Hospital District or Authority
10,emergency service,Yes
10,condition,Heart Attack
10,measure code,AMI-2
10,measure name,Heart Attack Patients Given Aspirin at Discharge
10,score,92%
10,sample,13 patients
10,stateavg,AL_AMI-2
11,provider number,10019
11,hospital name,HELEN KELLER MEMORIAL HOSPITAL
11,address1,1300 SOUTH MONTGOMERY AVENUE
11,address2,""
11,address3,""
11,city,SHEFFIELD
11,state,AL
11,zip code,35660
11,county name,JEFFERSON
11,phone number,2563864556
11,hospital type,Acute Care Hospitals
11,hospital owner,Government - Hospital District or Authority
11,emergency service,Yes
11,condition,Heart Attack
11,measure code,AMI-3
11,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
11,score,75%
11,sample,4 patients
11,stateavg,AL_AMI-3
12,provider number,10019
12,hospital name,HELEN KELLER MEMORIAL HOSPITAL
12,address1,1300 SOUTH MONTGOMERY AVENUE
12,address2,""
12,address3,""
12,city,SHEFFIELD
12,state,AL
12,zip code,35660
12,county name,JEFFERSON
12,phone number,2563864556
12,hospital type,Acute Care Hospitals
12,hospital owner,Government - Hospital District or Authority
12,emergency service,Yes
12,condition,Heart Attack
12,measure code,AMI-4
12,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
12,score,100%
12,sample,4 patients
12,stateavg,AL_AMI-4
13,provider number,10019
13,hospital name,HELEN KELLER MEMORIAL HOSPITAL
13,address1,1300 SOUTH MONTGOMERY AVENUE
13,address2,""
13,address3,""
13,city,SHEFFIELD
13,state,AL
13,zip code,35660
13,county name,JEFFERSON
13,phone number,2563864556
13,hospital type,Acute Care Hospitals
13,hospital owner,Government - Hospital District or Authority
13,emergency service,Yes
13,condition,Heart Attack
13,measure code,AMI-5
13,measure name,Heart Attack Patients Given Beta Blocker at Discharge
13,score,86%
13,sample,14 patients
13,stateavg,AL_AMI-5
14,provider number,10019
14,hospital name,HELEN KELLER MEMORIAL HOSPITAL
14,address1,1300 SOUTH MONTGOMERY AVENUE
14,address2,""
14,address3,""
14,city,SHEFFIELD
14,state,AL
14,zip code,35660
14,county name,JEFFERSON
14,phone number,2563864556
14,hospital type,Acute Care Hospitals
14,hospital owner,Government - Hospital District or Authority
14,emergency service,Yes
14,condition,Heart Attack
14,measure code,AMI-7A
14,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
14,score,""
14,sample,0 patients
14,stateavg,AL_AMI-7A
15,provider number,10019
15,hospital name,HELEN KELLER MEMORIAL HOSPITAL
15,address1,1300 SOUTH MONTGOMERY AVENUE
15,address2,""
15,address3,""
15,city,SHEFFIELD
15,state,AL
15,zip code,35660
15,county name,JEFFERSON
15,phone number,2563864556
15,hospital type,Acute Care Hospitals
15,hospital owner,Government - Hospital District or Authority
15,emergency service,Yes
15,condition,Heart Attack
15,measure code,AMI-8A
15,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
15,score,""
15,sample,0 patients
15,stateavg,AL_AMI-8A
16,provider number,10019
16,hospital name,HELEN KELLER MEMORIAL HOSPITAL
16,address1,1300 SOUTH MONTGOMERY AVENUE
16,address2,""
16,address3,""
16,city,SHEFFIELD
16,state,AL
16,zip code,35660
16,county name,JEFFERSON
16,phone number,2563864556
16,hospital type,Acute Care Hospitals
16,hospital owner,Government - Hospital District or Authority
16,emergency service,Yes
16,condition,Heart Failure
16,measure code,HF-1
16,measure name,Heart Failure Patients Given Discharge Instructions
16,score,80%
16,sample,114 patients
16,stateavg,AL_HF-1
17,provider number,10019
17,hospital name,HELEN KELLER MEMORIAL HOSPITAL
17,address1,1300 SOUTH MONTGOMERY AVENUE
17,address2,""
17,address3,""
17,city,SHEFFIELD
17,state,AL
17,zip code,35660
17,county name,JEFFERSON
17,phone number,2563864556
17,hospital type,Acute Care Hospitals
17,hospital owner,Government - Hospital District or Authority
17,emergency service,Yes
17,condition,Heart Failure
17,measure code,HF-2
17,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
17,score,99%
17,sample,149 patients
17,stateavg,AL_HF-2
18,provider number,10019
18,hospital name,HELEN KELLER MEMORIAL HOSPITAL
18,address1,1300 SOUTH MONTGOMERY AVENUE
18,address2,""
18,address3,""
18,city,SHEFFIELD
18,state,AL
18,zip code,35660
18,county name,JEFFERSON
18,phone number,2563864556
18,hospital type,Acute Care Hospitals
18,hospital owner,Government - Hospital District or Authority
18,emergency service,Yes
18,condition,Heart Failure
18,measure code,HF-3
18,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
18,score,92%
18,sample,37 patients
18,stateavg,AL_HF-3
19,provider number,10019
19,hospital name,HELEN KELLER MEMORIAL HOSPITAL
19,address1,1300 SOUTH MONTGOMERY AVENUE
19,address2,""
19,address3,""
19,city,SHEFFIELD
19,state,AL
19,zip code,35660
19,county name,JEFFERSON
19,phone number,2563864556
19,hospital type,Acute Care Hospitals
19,hospital owner,Government - Hospital District or Authority
19,emergency service,Yes
19,condition,Heart Failure
19,measure code,HF-4
19,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
19,score,100%
19,sample,41 patients
19,stateavg,AL_HF-4
20,provider number,10001
20,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
20,address1,1108 ROSS CLARK CIRCLE
20,address2,""
20,address3,""
20,city,DOTHAN
20,state,AL
20,zip code,36302
20,county name,HOUSTON
20,phone number,3347938701
20,hospital type,Acute Care Hospitals
20,hospital owner,Government - Hospital District or Authority
20,emergency service,Yes
20,condition,Heart Attack
20,measure code,AMI-1
20,measure name,Heart Attack Patients Given Aspirin at Arrival
20,score,98%
20,sample,270 patients
20,stateavg,AL_AMI-1
21,provider number,10001
21,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
21,address1,1108 ROSS CLARK CIRCLE
21,address2,""
21,address3,""
21,city,DOTHAN
21,state,AL
21,zip code,36302
21,county name,HOUSTON
21,phone number,3347938701
21,hospital type,Acute Care Hospitals
21,hospital owner,Government - Hospital District or Authority
21,emergency service,Yes
21,condition,Heart Attack
21,measure code,AMI-2
21,measure name,Heart Attack Patients Given Aspirin at Discharge
21,score,99%
21,sample,516 patients
21,stateavg,AL_AMI-2
22,provider number,10001
22,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
22,address1,1108 ROSS CLARK CIRCLE
22,address2,""
22,address3,""
22,city,DOTHAN
22,state,AL
22,zip code,36302
22,county name,HOUSTON
22,phone number,3347938701
22,hospital type,Acute Care Hospitals
22,hospital owner,Government - Hospital District or Authority
22,emergency service,Yes
22,condition,Heart Attack
22,measure code,AMI-3
22,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
22,score,96%
22,sample,71 patients
22,stateavg,AL_AMI-3
23,provider number,10001
23,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
23,address1,1108 ROSS CLARK CIRCLE
23,address2,""
23,address3,""
23,city,DOTHAN
23,state,AL
23,zip code,36302
23,county name,HOUSTON
23,phone number,3347938701
23,hospital type,Acute Care Hospitals
23,hospital owner,Government - Hospital District or Authority
23,emergency service,Yes
23,condition,Heart Attack
23,measure code,AMI-4
23,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
23,score,100%
23,sample,244 patients
23,stateavg,AL_AMI-4
24,provider number,10001
24,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
24,address1,1108 ROSS CLARK CIRCLE
24,address2,""
24,address3,""
24,city,DOTHAN
24,state,AL
24,zip code,36302
24,county name,HOUSTON
24,phone number,3347938701
24,hospital type,Acute Care Hospitals
24,hospital owner,Government - Hospital District or Authority
24,emergency service,Yes
24,condition,Heart Attack
24,measure code,AMI-5
24,measure name,Heart Attack Patients Given Beta Blocker at Discharge
24,score,99%
24,sample,441 patients
24,stateavg,AL_AMI-5
25,provider number,10001
25,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
25,address1,1108 ROSS CLARK CIRCLE
25,address2,""
25,address3,""
25,city,DOTHAN
25,state,AL
25,zip code,36302
25,county name,HOUSTON
25,phone number,3347938701
25,hospital type,Acute Care Hospitals
25,hospital owner,Government - Hospital District or Authority
25,emergency service,Yes
25,condition,Heart Attack
25,measure code,AMI-7A
25,measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival
25,score,""
25,sample,0 patients
25,stateavg,AL_AMI-7A
26,provider number,10001
26,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
26,address1,1108 ROSS CLARK CIRCLE
26,address2,""
26,address3,""
26,city,DOTHAN
26,state,AL
26,zip code,36302
26,county name,HOUSTON
26,phone number,3347938701
26,hospital type,Acute Care Hospitals
26,hospital owner,Government - Hospital District or Authority
26,emergency service,Yes
26,condition,Heart Attack
26,measure code,AMI-8A
26,measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival
26,score,72%
26,sample,40 patients
26,stateavg,AL_AMI-8A
27,provider number,10001
27,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
27,address1,1108 ROSS CLARK CIRCLE
27,address2,""
27,address3,""
27,city,DOTHAN
27,state,AL
27,zip code,36302
27,county name,HOUSTON
27,phone number,3347938701
27,hospital type,Acute Care Hospitals
27,hospital owner,Government - Hospital District or Authority
27,emergency service,Yes
27,condition,Heart Failure
27,measure code,HF-1
27,measure name,Heart Failure Patients Given Discharge Instructions
27,score,78%
27,sample,455 patients
27,stateavg,AL_HF-1
28,provider number,10001
28,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
28,address1,1108 ROSS CLARK CIRCLE
28,address2,""
28,address3,""
28,city,DOTHAN
28,state,AL
28,zip code,36302
28,county name,HOUSTON
28,phone number,3347938701
28,hospital type,Acute Care Hospitals
28,hospital owner,Government - Hospital District or Authority
28,emergency service,Yes
28,condition,Heart Failure
28,measure code,HF-2
28,measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function
28,score,99%
28,sample,514 patients
28,stateavg,AL_HF-2
29,provider number,10001
29,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
29,address1,1108 ROSS CLARK CIRCLE
29,address2,""
29,address3,""
29,city,DOTHAN
29,state,AL
29,zip code,36302
29,county name,HOUSTON
29,phone number,3347938701
29,hospital type,Acute Care Hospitals
29,hospital owner,Government - Hospital District or Authority
29,emergency service,Yes
29,condition,Heart Failure
29,measure code,HF-3
29,measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
29,score,91%
29,sample,165 patients
29,stateavg,AL_HF-3
30,provider number,10001
30,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
30,address1,1108 ROSS CLARK CIRCLE
30,address2,""
30,address3,""
30,city,DOTHAN
30,state,AL
30,zip code,36302
30,county name,HOUSTON
30,phone number,3347938701
30,hospital type,Acute Care Hospitals
30,hospital owner,Government - Hospital District or Authority
30,emergency service,Yes
30,condition,Heart Failure
30,measure code,HF-4
30,measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling
30,score,100%
30,sample,110 patients
30,stateavg,AL_HF-4
31,provider number,10001
31,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
31,address1,1108 ROSS CLARK CIRCLE
31,address2,""
31,address3,""
31,city,DOTHAN
31,state,AL
31,zip code,36302
31,county name,HOUSTON
31,phone number,3347938701
31,hospital type,Acute Care Hospitals
31,hospital owner,Government - Hospital District or Authority
31,emergency service,Yes
31,condition,Pneumonia
31,measure code,PN-2
31,measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination
31,score,93%
31,sample,191 patients
31,stateavg,AL_PN-2
32,provider number,10001
32,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
32,address1,1108 ROSS CLARK CIRCLE
32,address2,""
32,address3,""
32,city,DOTHAN
32,state,AL
32,zip code,36302
32,county name,HOUSTON
32,phone number,3347938701
32,hospital type,Acute Care Hospitals
32,hospital owner,Government - Hospital District or Authority
32,emergency service,Yes
32,condition,Pneumonia
32,measure code,PN-3B
32,measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics
32,score,89%
32,sample,125 patients
32,stateavg,AL_PN-3B
33,provider number,10001
33,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
33,address1,1108 ROSS CLARK CIRCLE
33,address2,""
33,address3,""
33,city,DOTHAN
33,state,AL
33,zip code,36302
33,county name,HOUSTON
33,phone number,3347938701
33,hospital type,Acute Care Hospitals
33,hospital owner,Government - Hospital District or Authority
33,emergency service,Yes
33,condition,Pneumonia
33,measure code,PN-4
33,measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling
33,score,99%
33,sample,107 patients
33,stateavg,AL_PN-4
34,provider number,10001
34,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
34,address1,1108 ROSS CLARK CIRCLE
34,address2,""
34,address3,""
34,city,DOTHAN
34,state,AL
34,zip code,36302
34,county name,HOUSTON
34,phone number,3347938701
34,hospital type,Acute Care Hospitals
34,hospital owner,Government - Hospital District or Authority
34,emergency service,Yes
34,condition,Pneumonia
34,measure code,PN-5C
34,measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival
34,score,92%
34,sample,196 patients
34,stateavg,AL_PN-5C
35,provider number,10001
35,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
35,address1,1108 ROSS CLARK CIRCLE
35,address2,""
35,address3,""
35,city,DOTHAN
35,state,AL
35,zip code,36302
35,county name,HOUSTON
35,phone number,3347938701
35,hospital type,Acute Care Hospitals
35,hospital owner,Government - Hospital District or Authority
35,emergency service,Yes
35,condition,Pneumonia
35,measure code,PN-6
35,measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s)
35,score,80%
35,sample,147 patients
35,stateavg,AL_PN-6
36,provider number,10001
36,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
36,address1,1108 ROSS CLARK CIRCLE
36,address2,""
36,address3,""
36,city,DOTHAN
36,state,AL
36,zip code,36302
36,county name,HOUSTON
36,phone number,3347938701
36,hospital type,Acute Care Hospitals
36,hospital owner,Government - Hospital District or Authority
36,emergency service,Yes
36,condition,Pneumonia
36,measure code,PN-7
36,measure name,Pneumonia Patients Assessed and Given Influenza Vaccination
36,score,84%
36,sample,160 patients
36,stateavg,AL_PN-7
37,provider number,10001
37,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
37,address1,1108 ROSS CLARK CIRCLE
37,address2,""
37,address3,""
37,city,DOTHAN
37,state,AL
37,zip code,36302
37,county name,HOUSTON
37,phone number,3347938701
37,hospital type,Acute Care Hospitals
37,hospital owner,Government - Hospital District or Authority
37,emergency service,Yes
37,condition,Surgical Infection Prevention
37,measure code,SCIP-CARD-2
37,measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery
37,score,72%
37,sample,79 patients
37,stateavg,AL_SCIP-CARD-2
38,provider number,10001
38,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
38,address1,1108 ROSS CLARK CIRCLE
38,address2,""
38,address3,""
38,city,DOTHAN
38,state,AL
38,zip code,36302
38,county name,HOUSTON
38,phone number,3347938701
38,hospital type,Acute Care Hospitals
38,hospital owner,Government - Hospital District or Authority
38,emergency service,Yes
38,condition,Surgical Infection Prevention
38,measure code,SCIP-INF-1
38,measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
38,score,94%
38,sample,399 patients
38,stateavg,AL_SCIP-INF-1
39,provider number,10001
39,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
39,address1,1108 ROSS CLARK CIRCLE
39,address2,""
39,address3,""
39,city,DOTHAN
39,state,AL
39,zip code,36302
39,county name,HOUSTON
39,phone number,3347938701
39,hospital type,Acute Care Hospitals
39,hospital owner,Government - Hospital District or Authority
39,emergency service,Yes
39,condition,Surgical Infection Prevention
39,measure code,SCIP-INF-2
39,measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection
39,score,98%
39,sample,405 patients
39,stateavg,AL_SCIP-INF-2
40,provider number,10001
40,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
40,address1,1108 ROSS CLARK CIRCLE
40,address2,""
40,address3,""
40,city,DOTHAN
40,state,AL
40,zip code,36302
40,county name,HOUSTON
40,phone number,3347938701
40,hospital type,Acute Care Hospitals
40,hospital owner,Government - Hospital District or Authority
40,emergency service,Yes
40,condition,Surgical Infection Prevention
40,measure code,SCIP-INF-3
40,measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery)
40,score,88%
40,sample,385 patients
40,stateavg,AL_SCIP-INF-3
41,provider number,10001
41,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
41,address1,1108 ROSS CLARK CIRCLE
41,address2,""
41,address3,""
41,city,DOTHAN
41,state,AL
41,zip code,36302
41,county name,HOUSTON
41,phone number,3347938701
41,hospital type,Acute Care Hospitals
41,hospital owner,Government - Hospital District or Authority
41,emergency service,Yes
41,condition,Surgical Infection Prevention
41,measure code,SCIP-INF-4
41,measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
41,score,96%
41,sample,136 patients
41,stateavg,AL_SCIP-INF-4
42,provider number,10001
42,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
42,address1,1108 ROSS CLARK CIRCLE
42,address2,""
42,address3,""
42,city,DOTHAN
42,state,AL
42,zip code,36302
42,county name,HOUSTON
42,phone number,3347938701
42,hospital type,Acute Care Hospitals
42,hospital owner,Government - Hospital District or Authority
42,emergency service,Yes
42,condition,Surgical Infection Prevention
42,measure code,SCIP-INF-6
42,measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor)
42,score,90%
42,sample,537 patients
42,stateavg,AL_SCIP-INF-6
43,provider number,10001
43,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
43,address1,1108 ROSS CLARK CIRCLE
43,address2,""
43,address3,""
43,city,DOTHAN
43,state,AL
43,zip code,36302
43,county name,HOUSTON
43,phone number,3347938701
43,hospital type,Acute Care Hospitals
43,hospital owner,Government - Hospital District or Authority
43,emergency service,Yes
43,condition,Surgical Infection Prevention
43,measure code,SCIP-VTE-1
43,measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries
43,score,86%
43,sample,185 patients
43,stateavg,AL_SCIP-VTE-1
44,provider number,10001
44,hospital name,SOUTHEAST ALABAMA MEDICAL CENTER
44,address1,1108 ROSS CLARK CIRCLE
44,address2,""
44,address3,""
44,city,DOTHAN
44,state,AL
44,zip code,36302
44,county name,HOUSTON
44,phone number,3347938701
44,hospital type,Acute Care Hospitals
44,hospital owner,Government - Hospital District or Authority
44,emergency service,Yes
44,condition,Surgical Infection Prevention
44,measure code,SCIP-VTE-2
44,measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery
44,score,83%
44,sample,184 patients
44,stateavg,AL_SCIP-VTE-2
45,provider number,10005
45,hospital name,MARSHALL MEDICAL CENTER SOUTH
45,address1,2505 U S HIGHWAY 431 NORTH
45,address2,""
45,address3,""
45,city,BOAZ
45,state,AL
45,zip code,35957
45,county name,MARSHALL
45,phone number,2565938310
45,hospital type,Acute Care Hospitals
45,hospital owner,Government - Hospital District or Authority
45,emergency service,Yes
45,condition,Heart Attack
45,measure code,AMI-1
45,measure name,Heart Attack Patients Given Aspirin at Arrival
45,score,80%
45,sample,20 patients
45,stateavg,AL_AMI-1
46,provider number,10005
46,hospital name,MARSHALL MEDICAL CENTER SOUTH
46,address1,2505 U S HIGHWAY 431 NORTH
46,address2,""
46,address3,""
46,city,BOAZ
46,state,AL
46,zip code,35957
46,county name,MARSHALL
46,phone number,2565938310
46,hospital type,Acute Care Hospitals
46,hospital owner,Government - Hospital District or Authority
46,emergency service,Yes
46,condition,Heart Attack
46,measure code,AMI-2
46,measure name,Heart Attack Patients Given Aspirin at Discharge
46,score,60%
46,sample,5 patients
46,stateavg,AL_AMI-2
47,provider number,10005
47,hospital name,MARSHALL MEDICAL CENTER SOUTH
47,address1,2505 U S HIGHWAY 431 NORTH
47,address2,""
47,address3,""
47,city,BOAZ
47,state,AL
47,zip code,35957
47,county name,MARSHALL
47,phone number,2565938310
47,hospital type,Acute Care Hospitals
47,hospital owner,Government - Hospital District or Authority
47,emergency service,Yes
47,condition,Heart Attack
47,measure code,AMI-3
47,measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD)
47,score,100%
47,sample,2 patients
47,stateavg,AL_AMI-3
48,provider number,10005
48,hospital name,MARSHALL MEDICAL CENTER SOUTH
48,address1,2505 U S HIGHWAY 431 NORTH
48,address2,""
48,address3,""
48,city,BOAZ
48,state,AL
48,zip code,35957
48,county name,MARSHALL
48,phone number,2565938310
48,hospital type,Acute Care Hospitals
48,hospital owner,Government - Hospital District or Authority
48,emergency service,Yes
48,condition,Heart Attack
48,measure code,AMI-4
48,measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling
48,score,""
48,sample,0 patients
48,stateavg,AL_AMI-4
49,provider number,10005
49,hospital name,MARSHALL MEDICAL CENTER SOUTH
49,address1,2505 U S HIGHWAY 431 NORTH
49,address2,""
49,address3,""
49,city,BOAZ
49,state,AL
49,zip code,35957
49,county name,MARSHALL
49,phone number,2565938310
49,hospital type,Acute Care Hospitals
49,hospital owner,Government - Hospital District or Authority
49,emergency service,Yes
49,condition,Heart Attack
49,measure code,AMI-5
49,measure name,Heart Attack Patients Given Beta Blocker at Discharge
49,score,100%
49,sample,5 patients
49,stateavg,AL_AMI-5
50,provider number,10005
50,hospital name,MARSHALL MEDICAL CENTER SOUTH
50,address1,2505 U S HIGHWAY 431 NORTH
50,address2,""
50,address3,""
50,city,BOAZ
50,state,AL
50,zip code,35957
50,county name,MARSHALL
50,phone number,2565938310
50,hospital type,Acute Care Hospitals
50,hospital owner,Government - Hospital District or Authority
50,emergency service,Yes
50,condition,Heart Attack
50,measure code,AMI-7A
